FID,,County,State,Year,Month,Date,PDSI,PHDI,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,2,Feb-00,-3.366088148,-2.305701697,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,3,Mar-00,-3.52597467,-2.450370852,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,4,Apr-00,-2.846775569,0.116688406,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,5,May-00,-2.229084808,0.029115609,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,6,Jun-00,-1.675950868,-1.293736895,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,7,Jul-00,-2.247153225,-2.258429448,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,8,Aug-00,-3.350687226,1.264164134,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,9,Sep-00,-3.420927055,2.282993408,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,10,Oct-00,-3.830638421,2.319590514,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,11,Nov-00,-0.766030408,1.706269274,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2000,12,Dec-00,-0.622033729,1.978052843,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,1,Jan-01,-0.483766704,-1.746456346,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,2,Feb-01,0.511659016,0.697982708,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,3,Mar-01,-1.308585048,0.608905591,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,4,Apr-01,-1.090325733,0.146940285,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,5,May-01,-0.992122812,-0.284038162,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,6,Jun-01,-0.949432869,-0.234536101,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,7,Jul-01,-1.47761994,-1.457348737,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,8,Aug-01,-0.795552419,-0.54726001,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,9,Sep-01,-1.147396065,-1.112219727,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,10,Oct-01,1.293756586,0.090755329,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,11,Nov-01,2.063051483,2.556557147,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2001,12,Dec-01,2.750445606,2.838332453,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,1,Jan-02,3.067448333,2.456196118,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,2,Feb-02,2.192141096,1.713946585,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,3,Mar-02,3.767137949,3.244833316,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,4,Apr-02,0.271550659,1.905254451,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,5,May-02,1.2726858,2.485530591,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,6,Jun-02,0.296732553,1.773059998,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,7,Jul-02,0.212949515,1.274665843,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,8,Aug-02,0.143327613,1.104641804,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,9,Sep-02,-0.224065316,0.87879916,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,10,Oct-02,1.194745734,1.663012796,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,11,Nov-02,0.679570347,1.078067838,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2002,12,Dec-02,1.316094774,1.883650392,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2003,1,Jan-03,-1.272182528,0.124300079,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2003,2,Feb-03,0.803474638,1.414052509,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2003,3,Mar-03,-0.862160298,0.244533179,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2003,4,Apr-03,-1.477943002,-1.433277366,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2003,5,May-03,0.552169865,-0.042228383,,,,,,,,,,,,
