FID,FIPS,County,State,Year,Month,Date,PDSI,PHDI,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,1,Jan-75,2.93223593,2.943659321,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,2,Feb-75,3.385541597,3.394235392,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,3,Mar-75,4.066187835,4.180570861,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,4,Apr-75,3.933788048,3.909500825,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,5,May-75,4.066256144,4.07231,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,6,Jun-75,4.144575022,4.179773915,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,7,Jul-75,3.994668124,4.026642964,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,8,Aug-75,4.002430971,4.378198657,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,9,Sep-75,2.336959571,3.608336574,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,10,Oct-75,-1.410375481,2.883321049,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,11,Nov-75,-0.128349487,2.736592974,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1975,12,Dec-75,-0.626265957,2.078747149,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,1,Jan-76,-0.799113256,1.21301772,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,2,Feb-76,-1.093851102,1.886789489,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,3,Mar-76,-0.622094521,1.523246699,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,4,Apr-76,-1.28998562,1.885520302,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,5,May-76,-0.391558425,2.128619683,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,6,Jun-76,0.805026246,2.99816862,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,7,Jul-76,0.817491503,3.076668561,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,8,Aug-76,0.384848085,2.96651215,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,9,Sep-76,0.599449958,2.998769596,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,10,Oct-76,1.160713097,2.937323732,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,11,Nov-76,-0.525590307,1.57302195,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1976,12,Dec-76,-1.079628774,0.925520576,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,1,Jan-77,-1.128362655,1.21301772,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,2,Feb-77,-1.837407445,-0.247338829,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,3,Mar-77,-2.021231711,0.15424294,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,4,Apr-77,-1.907941269,-0.643026822,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,5,May-77,-2.477464329,-0.985110836,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,6,Jun-77,-2.468519795,-0.654957446,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,7,Jul-77,-2.315531563,-0.548639971,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,8,Aug-77,-3.15032831,-0.301359546,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,9,Sep-77,-0.680132487,0.297420659,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,10,Oct-77,-0.922023673,0.698340939,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,11,Nov-77,-0.512113412,1.609168999,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1977,12,Dec-77,-1.642230039,-0.010804504,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,1,Jan-78,-0.845043448,-0.053676946,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,2,Feb-78,-1.256980821,-1.887461462,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,3,Mar-78,-1.677227295,-2.414467083,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,4,Apr-78,-2.275313608,-2.602344738,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,5,May-78,1.372017068,-1.268798031,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,6,Jun-78,0.893793597,0.060682138,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,7,Jul-78,-0.528827425,-0.636864988,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,8,Aug-78,-0.083689299,-0.422444684,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,9,Sep-78,-0.272405639,-0.62102596,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,10,Oct-78,-0.978452744,-1.317492994,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,11,Nov-78,0.293108546,-0.718549754,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1978,12,Dec-78,0.638430794,0.105252883,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,1,Jan-79,1.104980093,1.097125025,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,2,Feb-79,1.102884947,1.11593779,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,3,Mar-79,0.766853701,0.760919041,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,4,Apr-79,1.737639647,1.736821492,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,5,May-79,3.235302964,3.426964576,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,6,Jun-79,3.576783137,3.400562353,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,7,Jul-79,3.700997202,3.676563632,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,8,Aug-79,4.164031748,4.132106769,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,9,Sep-79,4.325871069,4.321309638,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,10,Oct-79,4.57212081,3.969716379,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,11,Nov-79,4.519891315,3.899564685,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1979,12,Dec-79,4.031494894,3.264595469,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,1,Jan-80,3.547268612,2.789763244,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,2,Feb-80,2.400407615,1.841753262,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,3,Mar-80,3.558062264,3.103509434,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,4,Apr-80,3.411827519,3.058120932,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,5,May-80,3.333128959,3.011811206,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,6,Jun-80,-0.22398426,2.619433675,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,7,Jul-80,-0.927835089,1.513051779,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,8,Aug-80,-1.93857787,-2.132358457,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,9,Sep-80,0.681222881,-0.74719011,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,10,Oct-80,0.791053985,-0.560032049,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,11,Nov-80,0.829347841,0.580349459,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1980,12,Dec-80,-0.77696701,-0.776883246,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,1,Jan-81,-1.640859243,-1.632919548,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,2,Feb-81,-1.92544426,-1.783997609,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,3,Mar-81,-1.784319387,-1.775868755,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,4,Apr-81,-2.338503552,-2.335190135,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,5,May-81,1.247645164,-1.273692084,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,6,Jun-81,1.484181564,0.547087003,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,7,Jul-81,1.322051508,0.596127639,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,8,Aug-81,1.314554962,0.527135377,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,9,Sep-81,1.26913607,0.395265934,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,10,Oct-81,1.680069036,1.946045621,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,11,Nov-81,-0.520943041,-0.45415099,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1981,12,Dec-81,-1.382697305,-1.311478979,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1982,1,Jan-82,-1.376756763,-1.143043222,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1982,2,Feb-82,-1.209380117,-1.010315032,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1982,3,Mar-82,-2.006231863,-2.049967003,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1982,4,Apr-82,1.005697363,-1.236231764,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1982,5,May-82,0.392508991,-1.295712438,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,1982,6,Jun-82,0.975402041,-0.043178054,,,,,,,,,,,,
